id_transaksi,id_pelanggan,kategori,channel,kuantitas,harga_satuan,diskon,total_nilai,berat_kg,segmen
515f7cc5,usr-0027,olahraga,mobile,1,706162.87,0.073,654282.81,1.48,menengah
15104372,usr-0130,olahraga,mobile,19,466441.36,0.009,8783163.59,2.26,tinggi
5083613c,usr-0057,otomotif,mobile,18,797675.3,0.195,11558812.89,5.49,tinggi
8451aedb,usr-0072,kesehatan,atm,1,359552.76,0.048,342330.98,4.28,menengah
47205686,usr-0089,fashion,web,11,151105.14,0.114,1472706.93,3.65,tinggi
6d99b1e8,usr-0097,otomotif,atm,2,1859463.57,0.161,3120669.18,9.73,tinggi
380ce3dd,usr-0018,elektronik,atm,20,1356814.68,0.108,24192263.41,2.0,tinggi
afe59b04,usr-0098,elektronik,web,10,1481526.9,0.257,11013740.37,8.68,tinggi
7ed5dbb1,usr-0180,makanan,teller,12,45331.76,0.107,486002.98,6.73,menengah
4ddcb76b,usr-0119,olahraga,mobile,20,626233.72,0.16,10517695.92,2.52,tinggi
8d2bbf99,usr-0015,kesehatan,atm,18,157355.69,0.097,2556852.66,7.71,tinggi
82b0b970,usr-0146,fashion,mobile,11,300582.39,0.02,3240752.4,9.14,tinggi
01ce875c,usr-0118,olahraga,atm,7,641579.0,0.119,3958011.84,9.15,tinggi
f0317703,usr-0150,fashion,atm,5,223313.75,0.168,928526.93,2.7,menengah
c7b2ca26,usr-0024,kesehatan,teller,12,157245.28,0.299,1322254.31,5.14,tinggi
31cdd421,usr-0017,elektronik,mobile,5,1034307.55,0.238,3942657.26,4.28,tinggi
cad7712a,usr-0003,kesehatan,teller,20,448545.52,0.159,7546919.15,9.71,tinggi
a26cfbf8,usr-0076,olahraga,mobile,18,713158.35,0.231,9876934.23,3.47,tinggi
f05643ab,usr-0129,kesehatan,web,15,76216.99,0.217,895594.32,7.22,menengah
3921a136,usr-0096,fashion,mobile,10,520834.67,0.152,4415121.45,2.07,tinggi
fbbc4274,usr-0079,fashion,mobile,20,262078.03,0.006,5210934.01,9.3,tinggi
ae90db16,usr-0125,fashion,mobile,8,539004.8,0.284,3087053.69,0.95,tinggi
8aac1105,usr-0136,elektronik,web,5,1074688.53,0.284,3847091.52,1.73,tinggi
4639b9bf,usr-0183,otomotif,teller,7,2257826.99,0.227,12223746.8,6.93,tinggi
d2e9607f,usr-0058,makanan,teller,12,79762.51,0.155,808530.79,1.3,menengah
629707fe,usr-0019,elektronik,atm,1,985385.9,0.069,917360.35,2.28,menengah
2a0021e1,usr-0132,olahraga,mobile,8,200550.25,0.009,1589282.27,3.37,tinggi
ba12c9c9,usr-0147,fashion,atm,16,207118.4,0.04,3182354.21,9.36,tinggi
c585b0ec,usr-0025,otomotif,teller,8,1969238.85,0.242,11937540.09,1.99,tinggi
f01a431e,usr-0173,olahraga,teller,12,467683.97,0.14,4825895.79,7.32,tinggi
fe9bf6f8,usr-0064,olahraga,mobile,2,451965.96,0.102,811919.99,8.63,menengah
710ebf23,usr-0064,fashion,web,18,324306.77,0.127,5098698.93,2.86,tinggi
96f79885,usr-0004,elektronik,teller,18,372385.91,0.196,5391558.71,5.45,tinggi
28d388df,usr-0016,elektronik,web,6,758017.57,0.144,3891324.78,8.66,tinggi
545e1b30,usr-0117,fashion,teller,1,592654.42,0.08,545502.29,7.86,menengah
79704efc,usr-0056,makanan,teller,18,107733.91,0.146,1656082.97,1.98,tinggi
8f2940c1,usr-0136,elektronik,mobile,11,321456.59,0.175,2916322.97,5.08,tinggi
0e397a49,usr-0173,fashion,mobile,17,140055.73,0.056,2248215.61,5.99,tinggi
13971eb4,usr-0011,fashion,teller,4,570798.06,0.171,1892988.71,5.83,tinggi
6e50e242,usr-0067,otomotif,mobile,14,1714746.33,0.17,19935721.28,3.23,tinggi
d78839cd,usr-0118,fashion,atm,8,232807.26,0.039,1789331.46,6.49,tinggi
a9933548,usr-0019,makanan,mobile,1,82285.69,0.3,57638.14,9.96,rendah
15cdde9e,usr-0063,otomotif,web,17,930400.83,0.28,11388457.07,8.82,tinggi
2727afbb,usr-0168,makanan,atm,6,79773.07,0.163,400636.93,3.09,menengah
